ID,章,章タイトル,節,節タイトル,問題番号,難易度,文法事項,Focus,日本語,英文（穴埋め）,ヒント,英文（完全）,答え,Tip（思考誘導）,解説,語句・熟語,注意・補足,Words to Use
17,3章,助動詞,-,-,61,発展,-,-,客がショッピングモールの駐車場代を支払う必要はない。,Customers ( )( )( )( ) the parking at the mall.,-,Customers need not pay for the parking at the mall.,need / not / pay / for,need には動詞だけでなく助動詞の用法もある。助動詞を使った否定文はどう表す? その後にくる動詞の形は?,need not [needn't] do 「~する必要はない」 need not need は助動詞。助動詞の need は否定文と疑問文で使う。,pay for A ΓAの代金を支払う」,-,pay for / post / feel / suggest
18,3章,助動詞,-,-,62,発展,-,-,よくもまあ私の許可なく彼女はあの写真を投稿できるね。,( )(d)( )( ) that photo without my permission?,d,How dare she post that photo without my permission?,How / dare / she / post,「よくも〜できるものだ」を表す表現は? 「投稿する」を表す動詞は?,How dare S do? 「(Sは) よくも〜できるものだ。」 このdare は「あえて~する」という意味の助動詞。否定文と疑問文で使う。,"dare not do 「あえて〜しない」 = don't dare (to) do, post a photo 「写真を(ネットに)投稿する」",-,pay for / post / feel / suggest
19,3章,助動詞,-,-,63,発展,-,-,クラスの前で発表する前に緊張するのは当然だ。,It ( )( ) we ( )( ) nervous before giving a presentation in front of the class.,-,It is natural that we (should) feel nervous before giving a presentation in front of the class.,is / natural / should / feel,感情・判断を表す形容詞を使った表現。that節内の述語動詞の形は?,"It is natural that S' (should, would) do 「S'が〜するのは当然だ」 that節の中でshould do / would do が使われることがある。",-,-,pay for / post / feel / suggest
20,3章,助動詞,-,-,64,発展,-,-,アナン先生は私がオンラインの英語レッスンを受けたらと提案している。,Ms. Annan ( )( ) I ( )( ) online English lessons.,-,Ms. Annan suggests (that) I (should) take online English lessons.,suggests / that / should / take,提案・命令・要求を表す動詞を使った表現。that節内の述語動詞の形は?,suggest (that) S' (should)+原形 「S'が〜することを提案する」 = propose (that) S' (should)+原形 提案・命令・要求を表す動詞や必要性・重要性を表す形容詞に続くthat節の中の動詞は〈should+原形〉または原形にする。動詞を原形にするこの用法を仮定法現在と呼ぶ。,-,-,pay for / post / feel / suggest
21,3章,助動詞,-,-,65,基本,-,F 064,以前は家族と映画を見に行ったものです。,(to/ the movies/I/go/to/used) with my family.,-,I used to go to the movies with my family.,I / used / to / go / to / the / movies,「(今はそうではないが)以前は~したものだ」を表す表現は?,used to do「以前は~したものだ、以前は〜だった」 過去の習慣や状態を表す。「過去には~だったが今は違う」というニュアンスを含む。,-,-,hang out / take / stay up / happen / miss
22,3章,助動詞,-,-,66,基本,-,F 063,週末になると、友達とよく公園で遊んでいた。,My friends and I ( )(o)(h)( ) at the park on weekends.,o / h,My friends and I would often hang out at the park on weekends.,would / often / hang / out,「よく〜したものだ」と過去の習慣的な動作を表す表現は?,would (often) do 「(よく)~したものだ」 過去の習慣的動作を表す。would の後に続くのは動作動詞のみ。,hang out 「ぶらぶらして時を過ごす」 ―この意味ではplay 「遊ぶ」は使わない。,-,hang out / take / stay up / happen / miss
23,3章,助動詞,-,-,67-1,基本,-,F 059,後で雨が降るかもしれないから、傘を持って行ったほうがいい。,You (h)( )( ) your umbrella because it might rain later.,h,You had better take your umbrella because it might rain later.,had / better / take,相手に対する忠告・命令を表す表現。,had better do 「~したほうがよい」,-,-,hang out / take / stay up / happen / miss
24,3章,助動詞,-,-,67-2,基本,-,-,今夜は夜更かししないほうがいい。,You (h)( )( )( )( ) late tonight.,h,You had better not stay up late tonight.,had / better / not / stay / up,相手に対する忠告・命令を表す表現。notの位置に注意。,had better not do 「~しないほうがよい」 had better を1つの助動詞として考え、その後にnotを付け、動詞を続ける。,stay up late 「夜更かしする」 go to bed early 「早く寝る」,-,hang out / take / stay up / happen / miss
25,3章,助動詞,-,-,68-1,基本,-,-,「勉強中はむしろ音楽を聴きたい。そのほうが集中できる。」「本当に?」,"""I (w)( )( )( ) music while studying. It helps me concentrate."" ""Are you sure?""",w,"""I would rather listen to music while studying. It helps me concentrate."" ""Are you sure?""",would / rather / listen / to,「むしろ〜したい」という意味を表す、助動詞を使った表現は?,would rather do 「(むしろ)~したい」,concentrate「集中する」,-,hang out / take / stay up / happen / miss
26,3章,助動詞,-,-,68-2,基本,-,-,個人的なことなので、その質問には答えたくありません。,I (w)( )( )(a) that question because it's personal.,w / a,I would rather not answer that question because it's personal.,would / rather / not / answer,「(どちらかというと)~したくない」を表す、助動詞を使った表現は?,would rather not do 「(どちらかというと)~したくない」 would ratherの後にnotを付け、動詞を続ける。,-,-,hang out / take / stay up / happen / miss
27,3章,助動詞,-,-,69,基本,-,-,彼女はカラオケに行くよりも、テスト勉強をしたいと言っていた。,She said she ( )( ) for the test than ( ) karaoke.,-,She said she would rather study for the test than go to karaoke.,would / rather / study / go / to,「･･･するよりも(むしろ)~したい」を表す表現は?,would rather do A than do B 「Bするよりも(むしろ) Aしたい」 than の直後にも動詞の原形がくることに注意。,-,-,hang out / take / stay up / happen / miss
28,3章,助動詞,-,-,70,基本,-,F 067,彼女に何かいいことがあったに違いない。,Something good ( )( )(h) to her.,h,Something good must have happened to her.,must / have / happened,過去の出来事についての確信のある推量を表す表現。助動詞の後はどのような形にする?,助動詞+have+過去分詞(done)で過去の出来事や行為についての推量を表す。 must have done 「~した [だった] に違いない」,something good 「何かいいこと」 ⇔ something bad 「何かよくないこと」,-,hang out / take / stay up / happen / miss
29,3章,助動詞,-,-,71,基本,-,F 067,ケンはバスに乗り遅れたのかもしれない。,Ken (m)( )( ) the bus.,m,Ken may [might] have missed the bus.,may / have / missed,過去についての推量を表す文。「かもしれない」を表す助動詞を使う。,may [might] have done 「~した [だった]のかもしれない」 might は may よりも確信度が低い。,miss the bus 「バスに乗り遅れる」 ⇔ catch the bus 「バスに間に合う」,-,hang out / take / stay up / happen / miss
30,3章,助動詞,-,-,72,基本,-,F 067,授業の後、傘を手に取った覚えがあるので、学校に置き忘れたはずはない。,I ( )( )( ) my umbrella at school because I remember taking it with me after class.,-,I can't [couldn't] have left my umbrella at school because I remember taking it with me after class.,can't / have / left,過去についての推量を表す文。「はずがない」を表す助動詞の表現を使う。,can't [couldn't] have done 「~した[だった] はずがない」 couldn't は can't よりも確信度が低い。,-,-,leave / review / stay up / worry about / excited / careful
31,3章,助動詞,-,-,73-1,基本,-,F 068,前回の授業の復習をしておくべきだった。,I ( )( )( ) the previous lesson.,-,I should have reviewed the previous lesson.,should / have / reviewed,過去についての後悔を表す文。「すべき」を表す助動詞を使う。,助動詞+have+過去分詞(done)で過去についての非難・後悔を表す。 should have done 「~すべきだったのに(しなかった)」 = ought to have done,"review A 「Aを復習する」 ⇔ prepare for A 「Aの予習をする」, previous 「前の、前回の」 ⇔ next 「次の」",-,leave / review / stay up / worry about / excited / careful
32,3章,助動詞,-,-,73-2,基本,-,-,夜遅くまでYouTubeの動画を見るべきではなかった。,I ( )( )( )( )( ) late watching YouTube videos.,-,I should not have stayed up late watching YouTube videos.,should / not / have / stayed / up,過去についての後悔を表す文。「すべきでない」を表す助動詞の表現を使う。,should not [shouldn't] have done 「~すべきでなかったのに(した)」 = ought not to have done,stay up (late) doing 「夜遅くまで~する」,-,leave / review / stay up / worry about / excited / careful
33,3章,助動詞,-,-,74,基本,-,F 068,テストは思っていたより簡単だったので、心配する必要はなかった。,I ( )( )(h)(w)( ) the test because it was easier than I had expected.,h / w,I need not have worried about the test because it was easier than I had expected.,need / not / have / worried / about,「~する必要はなかったのに(した)」を表す表現は?,need not (needn't] have done 「~する必要はなかったのに(した)」,"worry about A 「Aを心配する」 = be worried about A, than S' (had) expected 「S'が思っていたより、Sが思ったより」",-,leave / review / stay up / worry about / excited / careful
34,3章,助動詞,-,-,75-1,基本,-,-,私はどうしても過去のことを考えてしまう。,I ( )( )( )( ) the past.,-,I can't help thinking about the past.,can't / help / thinking / about,「過去について考えずにはいられない」と表現する。,can't help doing 「〜せずにはいられない、どうしても~してしまう」 この help は「~を避ける (avoid)」の意味。「~することを避けられない」,-,-,leave / review / stay up / worry about / excited / careful
35,3章,助動詞,-,-,75-2,基本,-,-,来週の修学旅行が楽しみで仕方ない。,I ( )( )( )( )(e) about the school trip next week.,e,I can't help but feel excited about the school trip next week.,can't / help / but / feel / excited,「楽しみで仕方がない→ わくわくせずにはいられない」と表現する。,can't help but do 「~せずにはいられない」 - but の後は動詞の原形。,feel excited 「わくわくする」,-,leave / review / stay up / worry about / excited / careful
36,3章,助動詞,-,-,76,発展,-,-,車を運転するときは、いくら注意してもし過ぎることはない。,You ( )( )( )( ) when driving.,-,You cannot be too careful when driving.,cannot / be / too / careful,〈too+形容詞〉を使って表現する。,"cannot ... too+形容詞[副詞] 「いくら〜しても･･･し過ぎることはない」 cannot [can't] の後に動詞,tooの後に形容詞・副詞を続ける。",-,-,leave / review / stay up / worry about / excited / careful
37,3章,助動詞,-,-,77,発展,-,-,たくさん練習してきたので、おそらくディベート大会で勝てるだろう。,"We have practiced a lot, so we (m)( )( ) the debate competition.",m,"We have practiced a lot, so we may well win the debate competition.",may / well / win,「おそらく〜だろう」を表す、助動詞を含む表現。,may [might] well do ① 「おそらく〜するだろう」 ② 「~するのももっともだ」 well の後に動詞の原形を続ける。mightのほうが確信度は低くなる。,debate competition 「ディベート大会」,-,leave / review / stay up / worry about / excited / careful
38,3章,助動詞,-,-,78,発展,-,-,外は雨が降っているので、屋内で過ごすのがいいかもしれない。,"It's raining outside, so we (m)( )( )( ) indoors.",m,"It's raining outside, so we may as well stay indoors.",may / as / well / stay,「いいかもしれない=したほうがいい」。消極的な提案を表す表現。,may (might) as well do 「~したほうがいい」 well の後に動詞の原形を続ける。had better 「~したほうがよい」とは違い、ほかに良い選択肢がないため「~したほうがいい」という消極的な提案を表す。,stay indoors 「屋内で過ごす」 ⇔ go outdoors「外に出る」,-,leave / review / stay up / worry about / excited / careful
1,4章,仮定法,-,-,79-1,基本,-,F 150,もしタイムマシンを持っていれば、私は過去へ行くだろう。,"If I ( ) a time machine, I ( ) go back in time.",-,"If I had a time machine, I would go back in time.",had / would,現在の事実と異なることや、実際には起こり得ないことを述べる場合、動詞や助動詞の形はどうなる?,"If S'+動詞の過去形, S would/could/might do. 「(今)もしS'が〜ならば、Sは･･･するだろうに」 現在の事実と違うこと、実際には起こり得ないことを述べる場合、動詞・助動詞を過去形にする。これを仮定法過去と呼ぶ。",go back in time 「過去へ行く」 ⇔ go forward in time 「未来へ行く」,-,go back / arrive / catch / miss / be / win
2,4章,仮定法,-,-,79-2,基本,-,F 150,もしあなたが日本の首相ならば、何をしますか。,"If you ( ) the Prime Minister of Japan, what ( ) you do?",-,"If you were the Prime Minister of Japan, what would you do?",were / would,仮定法過去でbe動詞を使う場合、be動詞の形はどうなる?,仮定法過去の文。be動詞の場合は主語にかかわらず were を使うのが正式だが、主語が1人称単数・3人称単数の場合、口語では was を使うことが多い。,"the Prime Minister「首相,総理大臣」",-,go back / arrive / catch / miss / be / win
3,4章,仮定法,-,-,80,基本,-,F 151,もし時間通りに到着していたら、私たちはバスに間に合っただろうに。,"If we ( )(a) on time, we ( )( )(c) the bus.",a / c,"If we had arrived on time, we could [would] have caught the bus.",had / arrived / could [would] / have / caught,"過去の事実と違うこと、実際には起こらなかったことを述べる場合,動詞の形はどうなる?","If S'+過去完了形, S would/could/might + have+過去分詞(done). 「(あの時) もしSが〜だったなら、Sは･･･しただろうに」 過去の事実と違うこと、実際には起こらなかったことを述べる場合、時制を過去よりさらに過去にずらして過去完了形にする。これを仮定法過去完了と呼ぶ。","on time「時間通りに」-in time 「間に合って」, catch the bus 「バスに間に合う」 ⇔ miss the bus 「パスに乗り遅れる」",-,go back / arrive / catch / miss / be / win
4,4章,仮定法,-,-,81,基本,-,F 152,もし電車に乗り遅れていなかったら、今頃パーティーに参加しているのに。,"If I ( )(m) the train, I ( )(b) at the party now.",m / b,"If I hadn't missed the train, I would be at the party now.",hadn't / missed / would / be,if節は「(あの時) ~だったなら」、主節は「(今)･･･だろうに」を表す仮定法の文。「パーティーに参加している→パーティーにいる」,"If S'+過去完了形, S would/could/might do. 「(あの時) もしSが〜だったなら、(今)Sは･･･するだろうに」 if節は過去の事実と違うことを、主節は現在の事実と違うことを述べる。このように、仮定法過去と仮定法過去完了を併用することもある。",miss the train 「電車に乗り遅れる」 ⇔ catch the train 「電車に間に合う」,-,go back / arrive / catch / miss / be / win
5,4章,仮定法,-,-,82,基本,-,F 153,もしその宝くじに当たったら何を買いますか。,What ( ) you buy if you ( )( )(w) the lottery?,w,What would you buy if you were to win the lottery?,would / were / to / win,「仮に〜するとしたら」を表す仮定法の表現は?,"If S' were to do, S would/could/might do. 「(これから) 仮にSが〜するとしたら･･･」 一仮の話の前提として使う表現。実現の可能性がゼロの場合も、可能性がある場合も使える表現。",win a lottery 「宝くじに当たる」,-,go back / arrive / catch / miss / be / win
6,4章,仮定法,-,-,83,基本,-,F 153,もし気が変われば、私に知らせてください。,"If you (s)( ) your mind, please ( )( )( ).",s,"If you should change your mind, please let me know.",should / change / let / me / know,「あり得ないだろうが」というニュアンスを含み、「万一~すれば･･･」を表す表現。主節に命令文がくる形。,"If S' should do, S will/can/may do [命令文...]. 「(これから)万一S'が〜すれば･･･」 実現の可能性が低い場合に使う表現。If S' should doが、「~はまずあり得ないだろうが」という仮定の意味を表す。主節は直説法や命令文になることが多い。","change one's mind 「考えを変える、気が変わる」, let me know 「私に知らせる」",-,change / let / know / wish / visit / have / leave / tell
7,4章,仮定法,-,-,84-1,基本,-,F 154,絵がもっと上手ならよいのですが。,I (w) I (w) better at drawing.,w / w,I wish I were better at drawing.,wish / were,「(今)~だったらなあ」という願望を表す動詞は? 従属節のbe動詞の形は?,S wish S'+過去形、「(今)S' は〜すればいいのにとSは思う」 wish に続く節で仮定法過去を使って、現在の事実に反したり実現が困難な願望を表す。,be better at A 「Aがもっと上手である」 -be good at A の比較級,-,change / let / know / wish / visit / have / leave / tell
8,4章,仮定法,-,-,84-2,基本,-,F 154,中間テストに向けてもっと勉強しておけばよかった。,I (w)( )( )( ) harder for the midterm test.,w,I wish I had studied harder for the midterm test.,wish / I / had / studied,「(あの時)~だったらなあ」という願望や後悔を表す場合の、従属節の動詞の形は?,S wish S'+過去完了形。「(あの時) S'は〜すればよかったのにとSは思う」 wish に続く節で仮定法過去完了を使って、過去において実現しなかったことへの願望や後悔を表す。,-,-,change / let / know / wish / visit / have / leave / tell
9,4章,仮定法,-,-,85-1,基本,-,-,いつかイギリスを訪れることができればと思います。,I (w) I (c)( ) the UK someday.,w / c,I wish I could visit the UK someday.,wish / could / visit,「(これから)~できればなあ」という願望を表す表現は?,S wish S' could do. 「(これから) S'が〜できればいいのにとSは思う」 wish に続く節で助動詞を含む仮定法過去を使い、期待感の薄い未来の願望を表す。,S hope S'+直説法 「S'が〜することをSは望む」一期待感がある。,-,change / let / know / wish / visit / have / leave / tell
10,4章,仮定法,-,-,85-2,発展,-,-,友達とコンサートに行くのを両親が許してくれればいいのに。,I (w) my parents (w)( ) me go to the concert with my friends.,w / w,I wish my parents would let me go to the concert with my friends.,wish / would / let,「(これから) S'が〜してくれればなあ」という願望を表す表現は?,S wish S' would do. 「S'が〜してくれればいいのにとSは思う」,let me go「私を行かせる、私が行くのを許す」,-,change / let / know / wish / visit / have / leave / tell
11,4章,仮定法,-,-,86-1,基本,-,-,もっとダンスの練習をする時間があればなあ!,(I)(o) I (h) more time to practice dancing!,I / o / h,If only I had more time to practice dancing!,If / only / had,「(今)~でさえあればなあ」という願望を表す表現は? 動詞の形は?,"If only S+過去形 「(今)Sは~でさえあればなあ」一感嘆符を伴うことが多い。 = S wish S'+過去形, If only に続く節で仮定法過去を使って現在の強い願望を表す。",have time to do 「~する時間がある」,-,change / let / know / wish / visit / have / leave / tell
12,4章,仮定法,-,-,86-2,基本,-,-,もっと早く家を出ていれば!,(I)(o) I (h)(l) home earlier!,I / o / h / l,If only I had left home earlier!,If / only / had / left,「(あの時)~でさえあったらなあ」という願望を表す表現は? 動詞の形は?,"If only S+過去完了形 「(あの時)Sは~でさえあったらなあ」 = S wish S'+過去完了形, If only に続く節で仮定法過去完了を使って過去に対する強い願望を表す。",leave home early 「家を早く出る」,-,change / let / know / wish / visit / have / leave / tell
13,4章,仮定法,-,-,87,発展,-,-,サプライズパーティーのことは誰にも言わないでほしい。,I (w)(r) you (d)(t) anyone about the surprise party.,w / r / d / t,I'd rather you didn't tell anyone about the surprise party.,d / rather / didn't / tell,「(今) S'に〜してほしい」という願望を表す仮定法の表現は? 動詞の形に注意。,S would rather S'+過去形/過去完了形。「(今)Sに〜してほしいとSは思う」 「(あの時) S'に〜してほしかったとSは思う」。would rather に続く節で仮定法過去/仮定法過去完了を使う。この文は仮定法過去の文。,-,-,change / let / know / wish / visit / have / leave / tell
14,4章,仮定法,-,-,88-1,基本,-,F 155,まるで図書館にいるかのようにカフェで勉強する人がいる。,Some people study in a café (a)(i) they (w) in a library.,a / i / w,Some people study in a café as if they were in a library.,as / if / were,「(実際は違うが)まるで〜するように」を表す表現は?,as if [as though] S'+過去形「(今)Sはまるで〜するように」 as if [as though] に続く節で仮定法過去を使って、「(実際はそうではないが)まるで〜するかのように」を表す。,-,-,happen / start / clean
15,4章,仮定法,-,-,88-2,基本,-,F 155,彼はまるで何事もなかったかのように振る舞った。,He behaved (a)(i) nothing (h)(h).,a / i / h / h,He behaved as if nothing had happened.,as / if / had / happened,「(実際はそうではなかったが)まるで〜したかのように」を表す表現は?,as if [as though] S'+過去完了形 「(あの時) S'はまるで〜したかのように」 as if [as though] に続く節で仮定法過去完了を使って、「(実際はそうではなかったが)まるで〜したかのように」を表す。,-,-,happen / start / clean
16,4章,仮定法,-,-,89,基本,-,-,私の犬は、私が出かけようとしているのを知っているかのようにドアのそばで待つ。,My dog waits by the door (a)(i) he (k) I'm about to leave.,a / i / k,My dog waits by the door as if he knows I'm about to leave.,as / if / knows,「~するかのように」を表す表現は? 「実際にあり得る」と考えている場合、従属節の動詞の形は?,as if [as though] S'+直説法「(今、あの時、これから) Sは〜するかのように」 as if [as though] に続く節の内容を、話し手が「実際に起こり得る」と考えている場合は直説法を使うこともある。現在のことは現在時制を、過去のことは過去時制を、未来のことは未来を表す表現を使う。,-,-,happen / start / clean
17,4章,仮定法,-,-,90-1,基本,-,-,私たちは自分たちの将来の職業について考え始めてもいい頃だ。,(I)(t) we (s) to think about our future careers.,I / t / s,It's time we started to think about our future careers.,It's / time / started,「~してもよい頃だ」を表す表現は?,"It is time S'+過去形,「S' は~してもよい頃だ」 It is (about/high) time に続く節で仮定法過去を使って「(まだ〜していないが)S'は(そろそろ/とっくに)~してもよい頃だ]」を表す。",a future career 「将来の職業、将来の仕事」,-,happen / start / clean
18,4章,仮定法,-,-,90-2,基本,-,-,母さんが怒り出す前に、そろそろ部屋を掃除しなさい。,(I)(a)(t) you (c) up your room before Mom gets angry.,I / a / t / c,It's about time you cleaned up your room before Mom gets angry.,It's / about / time / cleaned,「そろそろ〜してもよい頃だ」を表す表現は? 「おおよその(時)」に相当する語は?,It is about time S'+過去形、「S'はそろそろ〜してもよい頃だ」,clean (up) one's room 「~の部屋を掃除する」,-,happen / start / clean
19,4章,仮定法,-,-,90-3,基本,-,-,世界のリーダーたちが気候変動に対してとっくに行動を起こしてもよい時だ。,(it's / took / world leaders / time / action / high) against climate change.,-,It's high time world leaders took action against climate change.,It's / high / time / world / leaders / took / action,time に「とっくに」に相当する形容詞を付けて表現する。,It is high time S'+過去形.「Sはとっくに〜してもよい頃だ」,"take action「行動を起こす」, climate change「気候変動」",-,happen / start / clean
20,4章,仮定法,-,-,91,基本,-,-,もしインターネットがなければ、大量の情報を入手するのは難しいだろう。,"If it (w)(n)(f) the internet, it would be difficult to access a great deal of information.",w / n / f,"If it were not for the internet, it would be difficult to access a great deal of information.",were / not / for,「もし(今)~がなければ」を表す仮定法過去の定型表現は?,if it were not for~ = were it not for〜 「もし(今)~がなければ」 = without ~ = but for ~ 仮定法過去の文。were it not for 〜という倒置形になることもある。,"the internet / the Internet 「インターネット」, a great deal of + 数えられない名詞「大量の~」",-,happen / start / clean
21,4章,仮定法,-,-,92,基本,-,-,もし徳川家康がいなかったら、今、大阪が日本の首都になっているかもしれない。,"If it (h)(n)(b)(f) Tokugawa Ieyasu, Osaka might be the capital of Japan now.",h / n / b / f,"If it had not been for Tokugawa Ieyasu, Osaka might be the capital of Japan now.",had / not / been / for,「もし(あの時)~がなかったら」を表す仮定法過去完了の定型表現は? 主節は、現在の事実と違うことを述べる仮定法過去の文。,if it had not been for~ = had it not been for~ 「もし(あの時)~がなかったら」 = without ~ = but for ~ if it were not for~の仮定法過去完了の形。倒置形は had it not been for~。,the capital of A 「Aの首都」,-,happen / start / clean
22,4章,仮定法,-,-,93,基本,-,F 157,あの経験がなかったら、私の人生は違っていたと思います。,"(W) that (e), my life (w)(h)(b) different.",W / e / w / h / b,"Without that experience, my life would have been different.",Without / experience / would / have / been,「~がなかったら」を前置詞で簡潔に表すと?,"without~ ① 「もし(今)~がなければ」 ② 「もし(あの時) ~がなかったら」 ① if it were not for ~, ② if it had not been for ~ 仮定法過去でも仮定法過去完了でも使う。どちらなのかは主節の時制で区別する。この文の主節は would have been で過去完了形なので、②の仮定法過去完了。",experience ①名詞「経験」②動詞 「~を経験する」,-,experience / ask / reach / bake / place / apologize / hear
23,4章,仮定法,-,-,94,基本,-,F 157,もっと勇気があったなら、彼女をダンスに誘えたかもしれない。,"(W) more (c), I (c)(h)(a) her to dance.",W / c / c / h / a,"With more courage, I could have asked her to dance.",With / courage / could / have / asked,「~がなかったら」 (without)の反対で、「~があったなら」を表す前置詞は?,with~①「もし(今)~があれば」 ② 「もし(あの時) ~があったなら」 仮定法過去でも仮定法過去完了でも使う。without~の反意表現。,courage「勇気」一発音は/ká:rɪdʒ/,-,experience / ask / reach / bake / place / apologize / hear
24,4章,仮定法,-,-,95-1,基本,-,F 156,もっと背が高ければ、いちばん上の棚に手が届くのですが。,"(W) I (t), I (c)(r) the top shelf.",W / t / c / r,"Were I taller, I could reach the top shelf.",Were / taller / could / reach,仮定法の条件節をif を使わずに表現するとき、語順はどうなる?,"仮定法過去の文。ifを使わずに表現する場合, Were+主語 (Were S...) や助動詞+主語 (Had S done... / Should S do...) の語順にする(倒置)。ただし、倒置ができるのは were, had, should の3つのみ。= If I were taller,",-,-,experience / ask / reach / bake / place / apologize / hear
25,4章,仮定法,-,-,95-2,基本,-,F 156,君の誕生日だと知っていたら、私たちは君にケーキを焼いてあげたのに。,"(H) we (k) it was your birthday, we (w)(h)(b) you a cake.",H / k / w / h / b,"Had we known it was your birthday, we would have baked you a cake.",Had / known / would / have / baked,仮定法過去完了の条件節を if を使わずに表現するとき、語順はどうなる?,仮定法過去完了の文。ifを使わない倒置形。= If we had known it was ...,bake (A) a cake 「(Aのために) ケーキを焼く」 = bake a cake (for A),-,experience / ask / reach / bake / place / apologize / hear
26,4章,仮定法,-,-,95-3,基本,-,F 156,"明日,万一雨が降ったら、屋外の予定を中止しなければならない。","(S) it (r) tomorrow, we'll have to cancel our outdoor plans.",S / r,"Should it rain tomorrow, we'll have to cancel our outdoor plans.",Should / rain,「万一~すれば」をifを使わずに表現する。語順に注意。,"If S' should do,... 「万一S'が〜すれば」のifを使わない倒置形。 = If it should rain tomorrow, ...",-,-,experience / ask / reach / bake / place / apologize / hear
27,4章,仮定法,-,-,96,基本,-,F 157,私たちはバスに間に合うように早く出発した。そうでなかったならバスに乗り遅れていただろう。,We left early to catch the bus. (O) we (w)(h)(m) it.,O / w / h / m,We left early to catch the bus. Otherwise we would have missed it.,Otherwise / would / have / missed,「そうでなければ」を表し、if節の代わりをする1語は?,if を使わない仮定法。仮定法過去完了。otherwise = if we hadn't left early ... otherwise ① 「そうでなければ」 ② 「(あの時)そうでなかったなら」,miss A ①「Aがいなくて寂しく思う」 ② 「Aに乗り遅れる」 ③ 「Aをし損なう」,-,experience / ask / reach / bake / place / apologize / hear
28,4章,仮定法,-,-,97,基本,-,F 157,もしあなたの立場だったなら、友達に遅刻したことを謝ったでしょう。,"(I) your (p), I (w)(h)(a) to my friend for being late.",I / p / w / h / a,"In your place, I would have apologized to my friend for being late.",In / place / would / have / apologized,「もしあなたの立場だったなら」という仮定の意味は、if節を使わなくても、副詞句だけで表すことができる。,In your place 「もしあなたの立場なら [だったなら]」 仮定法過去完了の文。= If I were in your place / If I had been in your place,apologize to A for B 「AにBのことで謝る」,-,experience / ask / reach / bake / place / apologize / hear
29,4章,仮定法,-,-,98,発展,-,F 158,分別のある人なら公共の場でポイ捨てはしない。,(person / not / a / sensible / litter / would) in public.,-,A sensible person would not litter in public.,A / sensible / person / would / not / litter,主語で仮定の意味を表す。「分別のある人」 「ごみを捨てる」は英語で?,"仮定法過去の文。主語で仮定の意味を表す。「〜であれば」 = If he/she were a sensible person, he/she would not litter ...",sensible person 「分別のある人」,-,experience / ask / reach / bake / place / apologize / hear
30,4章,仮定法,-,-,99,発展,-,F 159,彼女が話すのを聞くと、彼女が何年もフランスに住んでいたと思うだろう。,"(T)(h) her (s), you (w)(t) she lived in France for years.",T / h / s / w / t,"To hear her speak, you would think she lived in France for years.",To / hear / speak / would / think,to不定詞を使って仮定の意味を表す表現。,"仮定法過去の文。to不定詞を使って仮定の意味を表す。「~すれば」 = If you heard her speak, ...","hear A do 「Aが〜するのが聞こえる」, for years「何年も」",-,experience / ask / reach / bake / place / apologize / hear
1,5章,不定詞,-,-,100,基本,-,F 083,私の夢はITエンジニアになることだ。,( )( )( )( ) an IT engineer.,-,My dream is to become [be] an IT engineer.,My / dream / is / to / become [be],「~すること」を表す表現は?,不定詞が名詞の働きをして「~すること」という意味を表す場合、文の中で主語・補語・目的語になる。これを不定詞の名詞的用法と呼ぶ。,-,-,become / balance / make / easy / someone / talk to
2,5章,不定詞,-,-,101,基本,-,F 083,生徒が勉強と部活を両立させるのは簡単ではない。,(I)( )( )( ) for students ( )(b) their studies and club activities.,I / b,It is not easy for students to balance their studies and club activities.,It / is / not / easy / to / balance,主語が不定詞で長くなるときは形式主語のit を使う。「AとBを両立させる」を表す表現は?,不定詞の名詞的用法。to以下が「~すること」という意味の名詞句で、形式主語 it の真の主語になっている。for students が不定詞 to balance の意味上の主語になっている。,balance A and [with] B 「AとBを両立させる」,-,become / balance / make / easy / someone / talk to
3,5章,不定詞,-,-,102,基本,-,F 083,翻訳アプリは外国人とのコミュニケーションをより簡単にしてくれる。,Translation apps (m )( )( )( )( ) with people from other countries.,m,Translation apps make it easier to communicate with people from other countries.,make / it / easier / to / communicate,「SはOをCにする」というSVOCの文で表すが、この文では○が長くなるので形式目的語を使う。,不定詞の名詞的用法。to以下が「~すること」という意味の名詞句で、形式目的語 it に対する真の目的語になっている。,"make it easy (for A) to do 「(Aが)~するのを簡単にする」, communicate with A 「Aとコミュニケーションをとる」",-,become / balance / make / easy / someone / talk to
4,5章,不定詞,-,-,103,基本,-,F 084,困ったときには、相談する誰かが必要だ。,"When you are in trouble, you need someone ( )( ).",-,"When you are in trouble, you need someone to talk to [with].",to / talk / to [with],「誰か」を表す代名詞を、「相談する」を表す語句を使って後ろから修飾する。,不定詞は直前の名詞や代名詞を後ろから修飾する。これを不定詞の形容詞的用法と呼ぶ。,"be in trouble 「困っている」, talk to A/talk with A 「Aと話をする、Aと相談する」",-,become / balance / make / easy / someone / talk to
5,5章,不定詞,-,-,104,基本,-,F 085,私は情報を得るためにインターネットを使う。,I use the internet ( )( ) information.,-,I use the internet to get information.,to / get,「~するために」を不定詞を使って表現すると?,不定詞が名詞以外の語句(動詞・形容詞・副詞など)や文全体を修飾する用法を不定詞の副詞的用法と呼ぶ。目的「~するために」を表す。,-,-,become / balance / make / easy / someone / talk to
